"Tabela 9606 - População residente, por cor ou raça, segundo o sexo e a idade"
"Variável - População residente (Pessoas)"
"Idade";"Ano";"Cor ou raça";"Sexo";""
"Idade";"Ano";"Cor ou raça";"Sexo";"Brasil"
"5 anos";"2022";"Branca";"Homens";"577170"
"5 anos";"2022";"Branca";"Mulheres";"557466"
"5 anos";"2022";"Preta";"Total";"187811"
"5 anos";"2022";"Preta";"Homens";"95438"
"5 anos";"2022";"Preta";"Mulheres";"92373"
"5 anos";"2022";"Amarela";"Total";"6160"
"5 anos";"2022";"Amarela";"Homens";"3249"
"5 anos";"2022";"Amarela";"Mulheres";"2911"
"5 anos";"2022";"Parda";"Total";"1284956"
"5 anos";"2022";"Parda";"Homens";"655968"
"5 anos";"2022";"Parda";"Mulheres";"628988"
"5 anos";"2022";"Indígena";"Total";"27096"
"5 anos";"2022";"Indígena";"Homens";"13767"
"5 anos";"2022";"Indígena";"Mulheres";"13329"
"6 anos";"2022";"Total";"Total";"2771512"
"6 anos";"2022";"Total";"Homens";"1411629"
"6 anos";"2022";"Total";"Mulheres";"1359883"
"6 anos";"2022";"Branca";"Total";"1170494"
"6 anos";"2022";"Branca";"Homens";"595342"
"6 anos";"2022";"Branca";"Mulheres";"575152"
"6 anos";"2022";"Preta";"Total";"201312"
"6 anos";"2022";"Preta";"Homens";"103317"
"6 anos";"2022";"Preta";"Mulheres";"97995"
"6 anos";"2022";"Amarela";"Total";"6606"
"6 anos";"2022";"Amarela";"Homens";"3442"
"6 anos";"2022";"Amarela";"Mulheres";"3164"
"6 anos";"2022";"Parda";"Total";"1365720"
"6 anos";"2022";"Parda";"Homens";"695375"
"6 anos";"2022";"Parda";"Mulheres";"670345"
"6 anos";"2022";"Indígena";"Total";"27261"
"6 anos";"2022";"Indígena";"Homens";"14088"
"6 anos";"2022";"Indígena";"Mulheres";"13173"
"7 anos";"2022";"Total";"Total";"2831711"
"7 anos";"2022";"Total";"Homens";"1442901"
"7 anos";"2022";"Total";"Mulheres";"1388810"
"7 anos";"2022";"Branca";"Total";"1177504"
"7 anos";"2022";"Branca";"Homens";"598297"
"7 anos";"2022";"Branca";"Mulheres";"579207"
"7 anos";"2022";"Preta";"Total";"209212"
"7 anos";"2022";"Preta";"Homens";"107419"
"7 anos";"2022";"Preta";"Mulheres";"101793"
"7 anos";"2022";"Amarela";"Total";"6808"
"7 anos";"2022";"Amarela";"Homens";"3449"
"7 anos";"2022";"Amarela";"Mulheres";"3359"
"7 anos";"2022";"Parda";"Total";"1410445"
"7 anos";"2022";"Parda";"Homens";"719693"
"7 anos";"2022";"Parda";"Mulheres";"690752"
"7 anos";"2022";"Indígena";"Total";"27645"
"7 anos";"2022";"Indígena";"Homens";"13989"
"7 anos";"2022";"Indígena";"Mulheres";"13656"
"8 anos";"2022";"Total";"Total";"2740900"
"8 anos";"2022";"Total";"Homens";"1403376"
"8 anos";"2022";"Total";"Mulheres";"1337524"
"8 anos";"2022";"Branca";"Total";"1127376"
"8 anos";"2022";"Branca";"Homens";"576264"
"8 anos";"2022";"Branca";"Mulheres";"551112"
"8 anos";"2022";"Preta";"Total";"208071"
"8 anos";"2022";"Preta";"Homens";"107401"
"8 anos";"2022";"Preta";"Mulheres";"100670"
"8 anos";"2022";"Amarela";"Total";"6605"
"8 anos";"2022";"Amarela";"Homens";"3368"
"8 anos";"2022";"Amarela";"Mulheres";"3237"
"8 anos";"2022";"Parda";"Total";"1371930"
"8 anos";"2022";"Parda";"Homens";"702593"
"8 anos";"2022";"Parda";"Mulheres";"669337"
"8 anos";"2022";"Indígena";"Total";"26815"
"8 anos";"2022";"Indígena";"Homens";"13688"
"8 anos";"2022";"Indígena";"Mulheres";"13127"
"9 anos";"2022";"Total";"Total";"2764531"
"9 anos";"2022";"Total";"Homens";"1407734"
"9 anos";"2022";"Total";"Mulheres";"1356797"
"9 anos";"2022";"Branca";"Total";"1124794"
"9 anos";"2022";"Branca";"Homens";"572576"
"9 anos";"2022";"Branca";"Mulheres";"552218"
"9 anos";"2022";"Preta";"Total";"214227"
"9 anos";"2022";"Preta";"Homens";"110308"
"9 anos";"2022";"Preta";"Mulheres";"103919"
"9 anos";"2022";"Amarela";"Total";"7012"
"9 anos";"2022";"Amarela";"Homens";"3573"
"9 anos";"2022";"Amarela";"Mulheres";"3439"
"9 anos";"2022";"Parda";"Total";"1391773"
"9 anos";"2022";"Parda";"Homens";"707484"
"9 anos";"2022";"Parda";"Mulheres";"684289"
"9 anos";"2022";"Indígena";"Total";"26623"
"9 anos";"2022";"Indígena";"Homens";"13743"
"9 anos";"2022";"Indígena";"Mulheres";"12880"
"10 a 14 anos";"2022";"Total";"Total";"13674961"
"10 a 14 anos";"2022";"Total";"Homens";"6992746"
"10 a 14 anos";"2022";"Total";"Mulheres";"6682215"
"10 a 14 anos";"2022";"Branca";"Total";"5408954"
"10 a 14 anos";"2022";"Branca";"Homens";"2746653"
"10 a 14 anos";"2022";"Branca";"Mulheres";"2662301"
